Don M. Mcnulty,"Reviewed in the United States on December 24, 2019",5.0 out of 5 stars,"This book will rock your world. My dad always told me, if you don’t understand something, embrace it, don’t run from it, don’t ignore it.
This book explains why that was great advice.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Jarrett Dunn,"Reviewed in the United States on August 6, 2019",3.0 out of 5 stars,"This isn't a bad book but considering the reviews, I was hoping for more than a collection of examples that support the main idea of the book. There are always examples to prop up any idea but I wanted more cross-examination than was offered.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on February 3, 2017",5.0 out of 5 stars,"Remembering each day that we will die help us treat time as a gift.
This book will show you how",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
galaxy s4,"Reviewed in the United States on July 26, 2018",5.0 out of 5 stars,A very motivating read that gives you the mindset you need to succeed. The examples and stories of historical leaders help drive home the points. Not a lot of practical advice per say but that's where your intuition and prowess come in.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
PickyBuyer,"Reviewed in the United States on May 31, 2018",1.0 out of 5 stars,"Weak, warmed-over platitudes. Would not recommend.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Kindle Customer,"Reviewed in the United States on May 21, 2019",5.0 out of 5 stars,"Life changing content. Excellent, a good encouraging read. I highly recommend this book.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on May 12, 2017",4.0 out of 5 stars,"Liked it , a little repetitive , I preferred "" ego is the enemy """,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Ismail Kamdar,"Reviewed in the United States on January 23, 2017",5.0 out of 5 stars,Holiday's style of writing is captivating and his content inspirational. This is a book that is not meant to be read just once. It is an excellent motivational book to read whenever facing an obstacle.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
NP-TX,"Reviewed in the United States on November 26, 2016",5.0 out of 5 stars,"Ryan Holiday does a superb job of not only explaining the ancient principles of stoicism but also of showing how you can apply them to lead a happier, calmer, more reflective and productive life. This is an inspiring, life-improving read.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on August 27, 2017",5.0 out of 5 stars,Well worth the read. Would have to be up there with one of the best reads of the year for me. I can see why this book pops up in so many must read lists.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
